district,price,surface,rooms_num,floor_no,building_floors_num,construction_status,market,build_year,transit_dur_m
15,559000.0,28.0,1.0,4.0,15.0,2,1,1968.0,22.85
14,915800.0,54.97,3.0,2.0,3.0,1,0,2025.0,52.1
10,1270000.0,62.0,3.0,2.0,4.0,2,1,2019.0,60.56666666666667
11,1067910.0,71.58,4.0,1.0,1.0,1,0,2027.0,60.61666666666667
1,779000.0,43.36,2.0,3.0,3.0,2,1,2020.0,68.03333333333333
5,698000.0,60.92,3.0,2.0,4.0,0,1,1990.0,33.483333333333334
0,999000.0,84.27,4.0,3.0,4.0,2,1,1982.0,61.28333333333333
10,1449000.0,66.0,3.0,0.0,3.0,2,1,2020.0,60.56666666666667
3,549000.0,38.0,2.0,5.0,10.0,2,1,1972.0,50.85
0,740000.0,51.48,3.0,10.0,11.0,2,1,1978.0,52.666666666666664
